architecture,detector_seed,source_3000,source_3001,source_3002,source_3003,source_3004,source_3005,source_3006,source_3007,source_3008,source_3009
xlstm,11,-0.0005846013518461257,0.0004773468030415673,-0.0003465990337546687,0.00023575773997741578,-0.0008701336532409565,-0.0013821775022442306,-0.0005126992092651106,-0.00023292987160161704,0.0003833999910787256,-0.0013403529991781182
xlstm,22,-0.00024336554600701277,0.000740089849713077,-0.0010414002908939457,0.0006011004410185761,0.00027291976472654245,8.848272910688681e-05,0.001907679029940823,-0.0011364951792097733,0.00014353445192194503,0.0005896638378056762
xlstm,33,-0.0012677269149029557,-4.6673992330270586e-05,-0.000907040239781165,-0.001556278675363787,0.0014993761181243404,0.0002668378493456691,-0.0031185837811580353,-0.00011720613385990397,0.0002954224446636289,0.0002250947153106253
lstm,11,-0.0014240313023818896,0.0010818143076400943,0.001358943584361283,0.002119809894249425,-0.001287195626812343,-0.00024635588019827903,-9.997750279922002e-05,-0.0003852033739244476,0.00015672735543237337,0.000541034373679139
lstm,22,0.002685169606140181,-0.0008469387660391403,0.0013225604936039081,-0.00016029486595403597,0.0009708357371602805,0.0005274469471990839,0.001630901672594276,-0.000209678104227895,0.0003923789665742916,0.002117897665364077
lstm,33,-0.00150220026957526,0.00031800489102040697,-0.00023853532729234406,-2.049644872725853e-05,-0.0021252760812570104,4.522603246792656e-06,0.0012204203732840702,4.2398971360824156e-05,-0.0002114505464864136,0.0009479571309796153
