source,scenario,condition,detector_seed,c,parameter_delta_l2,runtime_seconds,score_path,score_sha256,n,positives,negatives,prevalence,recall,fpr,ap,pr_auc_trapezoidal,auroc,valid_for_H1_inference
3000,abrupt,collective,33,10,0.05572536397553163,0.1992959608323872,data/phase_d/grid/3000_abrupt_collective_33/scores_10.npy,b4179cec7d973e3ab636128f067df65abe2dc6a7698833f91af14cb0edbd2640,8236,941,7295,0.11425449247207382,0.9872476089266737,0.9036326250856751,0.4126061594152214,0.41227678208334917,0.7901064811543872,False
3000,abrupt,collective,33,20,0.05610346598268675,0.19814038882032037,data/phase_d/grid/3000_abrupt_collective_33/scores_20.npy,6e0d79476cb66fff8f62560ac5c36478d994b23e3fd9c284ab141c380ca6c862,8236,941,7295,0.11425449247207382,0.9872476089266737,0.9034955448937628,0.41256458892019443,0.41223578438907116,0.7900955555280392,False
3000,abrupt,collective,33,30,0.05643222891788347,0.19895274378359318,data/phase_d/grid/3000_abrupt_collective_33/scores_30.npy,81abff7eedf2a1fe3d519b86b62369f3854fae9b3c43c607e9b8967b643ddeae,8236,941,7295,0.11425449247207382,0.9872476089266737,0.9033584647018505,0.4126031539474253,0.4122744607028094,0.7901058256168062,False
3000,abrupt,collective,44,,0.0,0.18985480023548007,data/phase_d/grid/3000_abrupt_collective_44/scores_no_update.npy,615ffea883bc1fe1966ca4544fa7d997d1f225b61da8d210f2b69b6ee2bdd207,8236,941,7295,0.11425449247207382,0.9914984059511158,0.9170664838930774,0.4271377447063244,0.42681201812729164,0.8050868259525872,False
3000,abrupt,collective,44,0,0.04703486663461997,0.19867920596152544,data/phase_d/grid/3000_abrupt_collective_44/scores_0.npy,da6ab56c8b12e0855c49df121d9e1484af0104cf02dcb2871a5069d9ac560870,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9040438656614119,0.42234466619732985,0.4220201253815364,0.8024491612396654,False
3000,abrupt,collective,44,5,0.04705072960775949,0.19784675538539886,data/phase_d/grid/3000_abrupt_collective_44/scores_5.npy,c0b9e453a1fa6bb32f15cb99da5027ba5946e505016a64a37a0a36af4f4cdba5,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9040438656614119,0.42234577161717984,0.4220211975433883,0.802445155176671,False
3000,abrupt,collective,44,10,0.04721224029110631,0.1999647323973477,data/phase_d/grid/3000_abrupt_collective_44/scores_10.npy,2bed40dd87c7fbe098a7590c65491138fc56f15e3ee09cdbcdad4a93feb11d75,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9040438656614119,0.4223476465770445,0.4220233905286077,0.802440275063569,False
3000,abrupt,collective,44,20,0.047621176942791825,0.20034446101635695,data/phase_d/grid/3000_abrupt_collective_44/scores_20.npy,20f0993ca4a9ac767f988752fc1009ab7c75a149f36f736b2428194e4dcf8d12,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9039067854694997,0.42230145246134,0.42197653665182916,0.8024281840370773,False
3000,abrupt,collective,44,30,0.047921169599409646,0.19790456164628267,data/phase_d/grid/3000_abrupt_collective_44/scores_30.npy,33fd6c1c9a18e7d2c18b2d6caab808d2644fc6fc14e163278200c8b78cf74230,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9040438656614119,0.4223827923020937,0.42205851614802314,0.802445592201725,False
3000,abrupt,collective,55,,0.0,0.19075749069452286,data/phase_d/grid/3000_abrupt_collective_55/scores_no_update.npy,9ec0ac00631598a447bd3789f15992c75847d17351789705c2941d7acb8cbce8,8236,941,7295,0.11425449247207382,0.9936238044633369,0.9287183002056203,0.4204013580253128,0.4200728207611284,0.7940518705036494,False
3000,abrupt,collective,55,0,0.05921254560388211,0.1983039230108261,data/phase_d/grid/3000_abrupt_collective_55/scores_0.npy,d3f90e3c5820f82ae5ad4b80a276b87cf7ff2b29c7099a17a6655016e79e1b32,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9098012337217272,0.4182587991999478,0.41793040071595716,0.7942542131036135,False
3000,abrupt,collective,55,5,0.05930472792882506,0.1981960190460086,data/phase_d/grid/3000_abrupt_collective_55/scores_5.npy,b38580869877d2b2a3eb0f7d72b74c2b9b07f2b0790dab1cefb0f6ae73b52487,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9096641535298149,0.418261523404784,0.41793336268748377,0.7942630264422009,False
3000,abrupt,collective,55,10,0.05950492164718786,0.1985534429550171,data/phase_d/grid/3000_abrupt_collective_55/scores_10.npy,2980c8ecc318c9684ac206c946d456fb57973876962899ac61b995ae7baf5598,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9095270733379027,0.4182392698427038,0.4179107528345872,0.7942573451164999,False
3000,abrupt,collective,55,20,0.05991429224929478,0.1983801149763167,data/phase_d/grid/3000_abrupt_collective_55/scores_20.npy,d5f654eb1e0453a08469979a769bdde9ef2918ef9c7195af0bf6d819cc865895,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9093899931459904,0.4182020569674702,0.417873566409053,0.7942537760785596,False
3000,abrupt,collective,55,30,0.06025019158294287,0.1985314437188208,data/phase_d/grid/3000_abrupt_collective_55/scores_30.npy,fe790cff9c03752ced3b1363f5316daac203132ba1ad68b80d13fa7687679b08,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9095270733379027,0.4182112621032716,0.4178819406414191,0.7942645560298895,False
3000,abrupt,dependency,11,,0.0,0.18889033002778888,data/phase_d/grid/3000_abrupt_dependency_11/scores_no_update.npy,d3d605cab03b01e95db99134089f0dd3d896a6ce558cdedf5b65b2488e322b78,8236,941,7295,0.11425449247207382,0.9819341126461212,0.9178889650445511,0.2630499797315268,0.26214187917683074,0.684209702101872,False
