backbone,seed11,seed22,seed33,pooled_seed_mean,source_level_mean,median,ci_reported_lo,ci_reported_hi,ci_crossed_lo,ci_crossed_hi,ci_seedsfixed_lo,ci_seedsfixed_hi,units_positive,units_ge_0p02,source_sd,seed_sd,mean_H_O1r,mean_H_O1r_I
xlstm,0.028952240245846084,0.01957112512190895,0.03182503656482005,0.026782800644191695,0.02671045168294909,0.027749398222881916,0.02295938063535364,0.030312022197378243,0.019509491972725442,0.03258160849185062,0.02425693235548414,0.029361102274022954,30,22,0.004094968813813802,0.00520697868128819,0.9056877704639792,0.9324705711081709
lstm,0.011485825131864136,0.010590710616222854,0.008961952672211893,0.010346162806766293,0.010220154342177134,0.009830715760772213,0.007860576923322166,0.01256639626021906,0.0078052184351696885,0.012817194038529394,0.008480179984531254,0.011864305465471063,30,1,0.0026937773067673043,0.0008330394315443484,0.9356376500156643,0.9459838128224307
