stage,architecture,detector_seed,arm,fit_role,C,validation_AP,test_AP,n_iter,convergence_warning,hit_max_iter,converged,coef_sha256,intercept_sha256
s1,xlstm,33,H+O1r,validation_candidate,10.0,0.909601424936828,,2382,False,False,True,cdf737d3cbf8332a7c83fac9becfeb0a1485f3d2c822158c55f1a905d12d0333,9466650eac875ad4daebaa8dc989e8f23142732bb0a72fc1a6a564403b9f999b
s1,xlstm,33,H+O1r,selected_final,10.0,0.909601424936828,0.9004142898593881,2382,False,False,True,cdf737d3cbf8332a7c83fac9becfeb0a1485f3d2c822158c55f1a905d12d0333,9466650eac875ad4daebaa8dc989e8f23142732bb0a72fc1a6a564403b9f999b
s1,xlstm,33,H+O1r+I,validation_candidate,0.01,0.940759465486869,,438,False,False,True,9379109db67aa3523d971ab341ce943c24e1ced0101ea63bc9aac64fdd2aa702,038f50f408cf0999ed899fd7159e3cd4717b7607717c95691b921c9318ff22b7
s1,xlstm,33,H+O1r+I,validation_candidate,0.1,0.940043009286883,,962,False,False,True,1304e811e5149a1120672c6571ece9a92a25b331e4f48a82e7d8680bdd93b69f,e44d89450489410e211219e0d92cef9295f031c3a4aa5e1637bc9552c345a8cc
s1,xlstm,33,H+O1r+I,validation_candidate,1.0,0.9396417659028578,,1871,False,False,True,98386b2224aa889d5634f345efe360c2783783c2c47e8f7c9fb7f38b318d9454,03b2f5b3fa459bb0f7c33c0f89f5d3976ae8dc5387eec98fd7aee2e4be2589dd
s1,xlstm,33,H+O1r+I,validation_candidate,10.0,0.9392944036160589,,2590,False,False,True,0bddf0e92ad8af3fce7a891d81ef9943f511bfb7ec0f7fe2418bcc664e105665,58b2d977cf5cde237d66859613c3938eba525b7feae2509517a839f4dbe23c39
s1,xlstm,33,H+O1r+I,selected_final,0.01,0.940759465486869,0.930568150842199,438,False,False,True,9379109db67aa3523d971ab341ce943c24e1ced0101ea63bc9aac64fdd2aa702,038f50f408cf0999ed899fd7159e3cd4717b7607717c95691b921c9318ff22b7
s1,lstm,11,H+O1r,validation_candidate,0.01,0.9378151653394626,,541,False,False,True,d6b1da528f9c38bb1007a2776dd9e01d4f61ae60ef142f0c81ae05372c891d45,c8b49aa236f9426b9d83670e71653949ff709facb5c3dad824e757df0d36f8c3
s1,lstm,11,H+O1r,validation_candidate,0.1,0.9390516679667472,,1177,False,False,True,4e110c5c2ed4787eebd8135d8376849bca33dfb09a110d772d421d713d8a23ba,fec785cf2a3cb4023f340985eceab93d2ad29d63d71fd43a53b04049db8a5f22
s1,lstm,11,H+O1r,validation_candidate,1.0,0.9397020394690928,,2178,False,False,True,1ac50edaef045dbe749dff89714ed35936bd186aa87adca5a050110b4fe1f4b8,f2c9bf6238a1960333e2df3666f94e084cb3e635c320b99bdbe7f35fea4733e6
