machine,alpha,seed,steps,score_sha256,final_model_sha256,runtime_seconds,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,record_path,trace_path,AUROC,AUPRC,hard_candidate_count,hard_candidate_anomalous,hard_candidate_contamination,hard_candidate_repeated_anomalous_exposures,hard_committed_count,hard_committed_anomalous,hard_committed_contamination,hard_committed_repeated_anomalous_exposures,hard_gradient_exposure_count,hard_gradient_exposure_anomalous,hard_gradient_exposure_contamination,hard_gradient_exposure_repeated_anomalous_exposures,hard_pending_count,hard_pending_anomalous,hard_pending_contamination,hard_pending_repeated_anomalous_exposures,hard_update_count,hard_optimizer_steps,hard_committed_minus_candidate,hard_material_delta_1pp,hard_commit_latency_mean_windows,hard_commit_latency_median_windows,hard_commit_latency_p95_windows,hard_commit_latency_maximum_windows,moderate_candidate_count,moderate_candidate_anomalous,moderate_candidate_contamination,moderate_candidate_repeated_anomalous_exposures,moderate_committed_count,moderate_committed_anomalous,moderate_committed_contamination,moderate_committed_repeated_anomalous_exposures,moderate_gradient_exposure_count,moderate_gradient_exposure_anomalous,moderate_gradient_exposure_contamination,moderate_gradient_exposure_repeated_anomalous_exposures,moderate_pending_count,moderate_pending_anomalous,moderate_pending_contamination,moderate_pending_repeated_anomalous_exposures,moderate_update_count,moderate_optimizer_steps,moderate_committed_minus_candidate,moderate_material_delta_1pp,moderate_commit_latency_mean_windows,moderate_commit_latency_median_windows,moderate_commit_latency_p95_windows,moderate_commit_latency_maximum_windows,all_candidate_count,all_candidate_anomalous,all_candidate_contamination,all_candidate_repeated_anomalous_exposures,all_committed_count,all_committed_anomalous,all_committed_contamination,all_committed_repeated_anomalous_exposures,all_gradient_exposure_count,all_gradient_exposure_anomalous,all_gradient_exposure_contamination,all_gradient_exposure_repeated_anomalous_exposures,all_pending_count,all_pending_anomalous,all_pending_contamination,all_pending_repeated_anomalous_exposures,all_update_count,all_optimizer_steps,all_committed_minus_candidate,all_material_delta_1pp,all_commit_latency_mean_windows,all_commit_latency_median_windows,all_commit_latency_p95_windows,all_commit_latency_maximum_windows
SMD_1-8,5.0,0,1,8f460ebc2a0d534bb648db0a80a8b07d814c6525226de9ba68ce4f82b1c4bca7,e10a66aaad7a23f91affaf7e57514f18e188a7f71cb0c2700fa722952f908517,14.950533162802458,2709062656,3586129920,reports/phase_c3/runs/SMD_1-8_alpha_5.0_seed_0_native_c3.json,reports/phase_c3/logs/SMD_1-8_alpha_5.0_seed_0_native_c3.audit_events.json,0.8681006074426231,0.44999612203735434,1275,237,0.18588235294117647,0,1275,237,0.18588235294117647,0,1275,237,0.18588235294117647,0,0,0,,0,27,27,0.0,False,185.41176470588235,156.0,440.89999999999986,2363,9747,199,0.02041653842207859,0,9746,199,0.02041863328545044,0,9746,199,0.02041863328545044,0,1,0,0.0,0,74,74,2.0948633718508025e-06,False,129.45854709624462,126.0,243.0,992,11022,436,0.03955724913808746,0,11021,436,0.03956083839941929,0,11021,436,0.03956083839941929,0,1,0,0.0,0,101,101,3.589261331829463e-06,False,135.9316758914799,130.0,246.0,2363
SMD_1-8,5.0,1,1,2a648dc29d4335ec7c7c6d46b7b9c4addeef50371a219e2151da61a04141e9ee,9f7740d643da2627d5dd7bba04b31c7b95d10243c393d240bb4b2367ed1f35d5,15.012782018166035,2709062656,3586129920,reports/phase_c3/runs/SMD_1-8_alpha_5.0_seed_1_native_c3.json,reports/phase_c3/logs/SMD_1-8_alpha_5.0_seed_1_native_c3.audit_events.json,0.8757129288977592,0.45831898546789496,1381,247,0.1788559015206372,0,1381,247,0.1788559015206372,0,1381,247,0.1788559015206372,0,0,0,,0,27,27,0.0,False,196.83924692251992,158.0,603.0,2364,10188,194,0.019042010208087948,0,10188,194,0.019042010208087948,0,10188,194,0.019042010208087948,0,0,0,,0,75,75,0.0,False,129.24214762465647,126.0,243.0,511,11569,441,0.038119111418445845,0,11569,441,0.038119111418445845,0,11569,441,0.038119111418445845,0,0,0,,0,102,102,0.0,False,137.3112628576368,131.0,246.60000000000036,2364
SMD_1-8,5.0,2,1,ba3eb61fe82086c8a087bde4b34dfaaaa3879b846ae678b9ddb68ae425c269da,d25fc6db6edb4dbeea0025ecabb046fde3dfb9d4e5d77d74f6e1f68e5ae88c55,15.363514074124396,2709062656,3586129920,reports/phase_c3/runs/SMD_1-8_alpha_5.0_seed_2_native_c3.json,reports/phase_c3/logs/SMD_1-8_alpha_5.0_seed_2_native_c3.audit_events.json,0.8655635010613546,0.44817356258618024,1364,231,0.1693548387096774,0,1364,231,0.1693548387096774,0,1364,231,0.1693548387096774,0,0,0,,0,29,29,0.0,False,175.35923753665688,148.0,473.7499999999968,1739,10518,218,0.020726373835329912,0,10515,218,0.020732287208749405,0,10515,218,0.020732287208749405,0,3,0,0.0,0,77,77,5.9133734194929954e-06,False,128.55244888254873,125.0,242.0,821,11882,449,0.03778825113617236,0,11879,449,0.03779779442714033,0,11879,449,0.03779779442714033,0,3,0,0.0,0,106,106,9.543290967972684e-06,False,133.92701405842243,128.0,245.0,1739
SMD_1-8,5.0,3,1,03b353a73ba19823381ad5e03bbd81e04fcfefbbe5bfad8d20e6ac0ad6aafa00,fd2f13a9b0315a3b3fa089d56adb065d284d06c65b83f49a2febd8ce5b59898c,14.969008662737906,2709062656,3584032768,reports/phase_c3/runs/SMD_1-8_alpha_5.0_seed_3_native_c3.json,reports/phase_c3/logs/SMD_1-8_alpha_5.0_seed_3_native_c3.audit_events.json,0.8686995467361689,0.4522059849426678,1329,227,0.1708051166290444,0,1329,227,0.1708051166290444,0,1329,227,0.1708051166290444,0,0,0,,0,28,28,0.0,False,176.803611738149,153.0,412.39999999999736,2367,9823,202,0.020563982490074316,0,9823,202,0.020563982490074316,0,9823,202,0.020563982490074316,0,0,0,,0,73,73,0.0,False,129.7437646340222,126.0,243.0,736,11152,429,0.038468436154949784,0,11152,429,0.038468436154949784,0,11152,429,0.038468436154949784,0,0,0,,0,101,101,0.0,False,135.35195480631276,130.0,246.0,2367
SMD_1-8,5.0,4,1,f7e46cda051e381279f121cfc3ce139181ba4998769765888dcbfc2a9b6ced20,0ed39ab1a5020407dbbf3ead0920d042254392d2380537fdb234023152aa924e,14.962557300925255,2709062656,3586129920,reports/phase_c3/runs/SMD_1-8_alpha_5.0_seed_4_native_c3.json,reports/phase_c3/logs/SMD_1-8_alpha_5.0_seed_4_native_c3.audit_events.json,0.8752019599055887,0.4554487125635067,1324,253,0.19108761329305135,0,1324,253,0.19108761329305135,0,1324,253,0.19108761329305135,0,0,0,,0,28,28,0.0,False,180.55135951661632,153.0,433.09999999999945,2367,9658,189,0.01956926899979292,0,9658,189,0.01956926899979292,0,9658,189,0.01956926899979292,0,0,0,,0,73,73,0.0,False,129.16525160488715,125.0,243.0,992,10982,442,0.04024767801857585,0,10982,442,0.04024767801857585,0,10982,442,0.04024767801857585,0,0,0,,0,101,101,0.0,False,135.3604079402659,129.0,246.0,2367
SMD_2-1,0.5,0,5,762c3970863f743b57fff7a89f43e1ddf198fcbab7b66b623afcfff2fe04533e,a675247d34100b361c3bfe296d3633c15ff3f466ec4331992a8b514c0825b191,44.344304636120796,2708968960,3554672640,reports/phase_c_v2/runs/SMD_2-1_alpha_0.5_seed_0_native_v2.json,reports/phase_c_v2/logs/SMD_2-1_alpha_0.5_seed_0_native_v2.audit_events.json,0.6912517441582537,0.30637349397804314,80,48,0.6,0,80,48,0.6,0,400,240,0.6,192,0,0,,0,4,20,0.0,False,1835.8125,1501.0,4378.0,4383,15492,253,0.01633100955331784,0,15485,250,0.01614465611882467,0,77425,1250,0.01614465611882467,1000,7,3,0.42857142857142855,0,85,425,-0.00018635343449317082,False,127.75143687439457,126.0,243.0,1272,15572,301,0.019329565887490366,0,15565,298,0.019145518792161902,0,77825,1490,0.019145518792161902,1192,7,3,0.42857142857142855,0,89,445,-0.00018404709532846356,False,136.53042081593318,127.0,244.0,4383
SMD_2-1,0.5,1,5,6844fc60a661526352a3d0a015528c09d7a835c8d7bb0a0a66436629eb866736,7821f114c262cbb9eefde56672f7c4f61d7ce0d24623edc9a300193f23a9007e,45.023825312033296,2708968960,3554672640,reports/phase_c3/runs/SMD_2-1_alpha_0.5_seed_1_native_c3.json,reports/phase_c3/logs/SMD_2-1_alpha_0.5_seed_1_native_c3.audit_events.json,0.6919249332187989,0.3069225894678877,78,49,0.6282051282051282,0,78,49,0.6282051282051282,0,390,245,0.6282051282051282,196,0,0,,0,4,20,0.0,False,1807.551282051282,1501.0,4377.15,4383,15766,266,0.016871749334009895,0,15762,264,0.01674914350970689,0,78810,1320,0.01674914350970689,1056,4,2,0.5,0,85,425,-0.00012260582430300565,False,128.00057099352875,127.0,243.0,1272,15844,315,0.019881343095177986,0,15840,313,0.01976010101010101,0,79200,1565,0.01976010101010101,1252,4,2,0.5,0,89,445,-0.00012124208507697729,False,136.27108585858585,127.0,244.0,4383
SMD_2-1,0.5,2,5,1a860b081fba73372c5b3cca51fcf0db03158567281137cce005c54c5789fcea,a52d139886c80ff89d1c01c47faed62a7fbc93d8cf351995efcc8166443cc13b,43.95100947516039,2708968960,3539992576,reports/phase_c3/runs/SMD_2-1_alpha_0.5_seed_2_native_c3.json,reports/phase_c3/logs/SMD_2-1_alpha_0.5_seed_2_native_c3.audit_events.json,0.6909534914490714,0.30656552155142397,79,48,0.6075949367088608,0,79,48,0.6075949367088608,0,395,240,0.6075949367088608,192,0,0,,0,4,20,0.0,False,1840.1898734177216,1502.0,4378.0,4383,15160,242,0.015963060686015832,0,15157,239,0.01576829187834004,0,75785,1195,0.01576829187834004,956,3,3,1.0,0,85,425,-0.00019476880767579224,False,127.51619713663653,126.0,243.0,1265,15239,290,0.019030120086619858,0,15236,287,0.018836965082698873,0,76180,1435,0.018836965082698873,1148,3,3,1.0,0,89,445,-0.00019315500392098547,False,136.39656077710686,126.0,244.0,4383
SMD_2-1,0.5,3,5,8d7a61b943517ef20560418069d329845270653028910dc6f7afee47e2ff5f47,74f284f918649ed8de463d8b9a282e7c8adb35e69b6894b41f13aefd6b606a0b,43.33448564913124,2708968960,3584032768,reports/phase_c3/runs/SMD_2-1_alpha_0.5_seed_3_native_c3.json,reports/phase_c3/logs/SMD_2-1_alpha_0.5_seed_3_native_c3.audit_events.json,0.6919746275492324,0.30681487877088304,81,49,0.6049382716049383,0,81,49,0.6049382716049383,0,405,245,0.6049382716049383,196,0,0,,0,4,20,0.0,False,1813.9382716049383,1500.0,4378.0,4383,14919,239,0.016019840471881493,0,14916,238,0.015956020380799144,0,74580,1190,0.015956020380799144,952,3,1,0.3333333333333333,0,85,425,-6.382009108234915e-05,False,127.5600026816841,126.0,243.0,1265,15000,288,0.0192,0,14997,287,0.01913716076548643,0,74985,1435,0.01913716076548643,1148,3,1,0.3333333333333333,0,89,445,-6.283923451356685e-05,False,136.66826698673069,126.0,244.0,4383
SMD_2-1,0.5,4,5,09177e0d69034a0c7529d83d7d482522eb7b12fd287e628680041114a8246267,8a29896f9f27cd44321a19d82baec70b03b59dbe46f172d63b20277d064cc997,44.19740017876029,2708968960,3588227072,reports/phase_c3/runs/SMD_2-1_alpha_0.5_seed_4_native_c3.json,reports/phase_c3/logs/SMD_2-1_alpha_0.5_seed_4_native_c3.audit_events.json,0.6913118109876748,0.30636277198513845,81,49,0.6049382716049383,0,81,49,0.6049382716049383,0,405,245,0.6049382716049383,196,0,0,,0,4,20,0.0,False,1813.9382716049383,1500.0,4378.0,4383,15350,254,0.016547231270358308,0,15346,252,0.01642121725531083,0,76730,1260,0.01642121725531083,1008,4,2,0.5,0,85,425,-0.00012601401504747783,False,127.31825882966245,126.0,243.0,1272,15431,303,0.0196357980688225,0,15427,301,0.019511246515848835,0,77135,1505,0.019511246515848835,1204,4,2,0.5,0,89,445,-0.0001245515529736639,False,136.17391586180074,126.0,243.0,4383
