architecture,detector_seed,source_3000,source_3001,source_3002,source_3003,source_3004,source_3005,source_3006,source_3007,source_3008,source_3009
xlstm,11,0.017807202913496467,0.01643139040639674,0.016621924720979675,0.018362124182091932,0.015363693121892008,0.013116462169449838,0.012246337478308944,0.02292886644152914,0.018723219630011334,0.004976618119433507
xlstm,22,0.014983939851390904,0.01620164583837158,0.008457186190531596,0.012021126209073585,0.014183178864516144,0.015275090677734582,0.011440312637374217,0.024339360204703064,0.00937701907450228,0.01953406238419364
xlstm,33,0.01560728025678293,0.013657544079071382,0.01593758704991788,0.018799123825136488,0.0072528148404313875,0.01821487690648016,0.00510191630114154,0.025883504372830046,0.025329398484517096,0.0067762683389801515
lstm,11,0.017443202481019937,0.005085257417883682,0.012847846776230076,0.008648708002155336,0.007324333676519301,0.002399485243365418,0.014685059050418059,0.012850829448952439,0.0164469418427301,0.011556163211832171
lstm,22,0.0172728075879629,0.009904922408522143,0.010128636350389075,0.010098107995361039,0.008226787106180411,0.008242197759971703,0.013135075087857828,0.015268695892958206,0.009709533283242089,0.015228025196518113
lstm,33,0.011443820907875546,0.00584715909872191,0.007545770091717419,0.009677831856511832,0.008836318418108835,0.014415061109460114,0.01393271784889416,0.017466469156411923,0.003078415861674122,0.018814731351459946
