source,scenario,condition,detector_seed,c,parameter_delta_l2,fixed_threshold,anomalous_loss_exposures,optimizer_steps,runtime_seconds,score_sha256,final_model_sha256,n,positives,negatives,prevalence,recall,fpr,ap,pr_auc_trapezoidal,auroc,update_loss
3000,abrupt,collective,11,,0.0,1.153200405836105,0,0,0.1866398099809885,d29e805f18bedadc1bf60a10d3e711c76ed5bf160836c32b893f0b31da1ef8de,8a95ff4ab5c668fd15d67e4b5cddd4c3799329eb68427f145a041f96497fd3a4,8236,941,7295,0.11425449247207382,0.9914984059511158,0.9155586017820425,0.3928237772204286,0.3924756998090481,0.7875568769898297,
3000,abrupt,collective,11,0,0.05063691398289655,1.153200405836105,0,1,0.19605922000482678,776722bb4176fc2bfcf448c088f3a233e1d54db2863c424e0bdbd59eaf89ba4d,57ad90adf6791c003d72fc8792f2c93806b9f05fa84dc6ab4e672d54a400b8cc,8236,941,7295,0.11425449247207382,0.9893730074388948,0.8993831391363948,0.3955188779457021,0.3951739542865967,0.7889897364666087,1.6006938219070435
3000,abrupt,collective,11,5,0.050700101590706065,1.153200405836105,5,1,0.1971128061413765,0745e13adb374bab94ed67635aa27816cec31b37678098253859cb230689a05c,1c128c212f7cf34afd95e137c8fb0e285ec6537517bafef56708a177650b9c6b,8236,941,7295,0.11425449247207382,0.9893730074388948,0.8995202193283071,0.39550852206896187,0.3951633146332472,0.7889947622547288,1.6004815101623535
3000,abrupt,collective,11,10,0.05088923687737786,1.153200405836105,10,1,0.19520624307915568,a2e1a783bf717cc1bc268076db6a719a25fa48e741b5bd56aaa69350fc168015,ae6380810b668e1b944c13b1950574e9d25d14e86ae1c9ea9416a8f6325560d5,8236,941,7295,0.11425449247207382,0.9893730074388948,0.8993831391363948,0.39550431525512325,0.39515913938545455,0.7889761886899372,1.6071319580078125
3000,abrupt,collective,11,20,0.051371864601150743,1.153200405836105,20,1,0.1955410591326654,85d3a7cfe38f71260ad28ee4ce1f47e36884624a0d77bfa79eff8f3d40054024,6225bef41f4262bff4689fb8df0ae2520162b46047d73833ef97d90ba50ef4d2,8236,941,7295,0.11425449247207382,0.9893730074388948,0.8993831391363948,0.39550218884020616,0.3951571337969415,0.7889666469762602,1.618137001991272
3000,abrupt,collective,11,30,0.0519148924403667,1.153200405836105,30,1,0.2704057446680963,72a3c6255d57a2d3c4692257a58ef77a786c6755b80f8cab595c769e38d9a703,34be3ff6cb67e4320b278c6d12b2449f72eda7ecf1d3decdb88aaf601c31288c,8236,941,7295,0.11425449247207382,0.9893730074388948,0.8991089787525702,0.39549415052061826,0.3951489132487229,0.7889788108402608,1.630460262298584
3000,abrupt,collective,22,,0.0,1.155601805448532,0,0,0.18896197387948632,3ba16d5f2cf3a81b7f236dd0a111bd352cd4f4b98ce1453fcd8c48ee1e963ac1,448b5ce621bf97889b49738770fe5c1152e340ca15d5d602e6d63c748eeceeee,8236,941,7295,0.11425449247207382,0.9883103081827843,0.9196710075394106,0.4246526089796654,0.42432572124729273,0.7920711272842753,
3000,abrupt,collective,22,0,0.05592969505787423,1.155601805448532,0,1,0.19625857984647155,e75df0d3df2b13d346fece71bbfd08401b84ef4d3d5c05bb533426fa9213c9b6,4578dde6cb565b8b59dbefdd6ac5f4d1b9ef99c6f162220567035b0d44a96467,8236,941,7295,0.11425449247207382,0.9872476089266737,0.9017135023989034,0.421347949951295,0.4210163693482769,0.7931721390701126,1.6280722618103027
3000,abrupt,collective,22,5,0.056007728372368594,1.155601805448532,5,1,0.19621310802176595,511df3a8c8055f6404b1ac5817999752797832f2ae20d8537caa1e12b4c7f63b,e105cae10f020abe3415ac667744c495348a47d3da5d44da68482d180ebed7d0,8236,941,7295,0.11425449247207382,0.9872476089266737,0.9014393420150788,0.42135736513708655,0.42102602957555557,0.793175853783071,1.6283115148544312
3000,abrupt,collective,22,10,0.056247340092027906,1.155601805448532,10,1,0.19633038761094213,faf963644564229cb283c38097bd834ff6f3c4780efd20f3d3f393e8c31977fd,dab2d4a92483de861e2295265aa28c6c908c5af16be9674e2de38511a281f62c,8236,941,7295,0.11425449247207382,0.9872476089266737,0.9015764222069911,0.42139270736616097,0.4210613986945362,0.7931776018832867,1.6338117122650146
3000,abrupt,collective,22,20,0.05665161346383714,1.155601805448532,20,1,0.20745607279241085,a0930a1889bc255fb6281a178cd6e2e3970725a6cf3d0db279319f2f602cedda,cb089094606ceb0b43092020c08d0a33735340ac0abc4f1a25107637558ff2b5,8236,941,7295,0.11425449247207382,0.9872476089266737,0.9013022618231665,0.42136319087325946,0.4210318609750371,0.7931768735081968,1.6439672708511353
3000,abrupt,collective,22,30,0.05693609496858211,1.155601805448532,30,1,0.1970293978229165,8523b19603d89c4941e28646f00ddfc7f633638b4d1ecbe15330f2f6d0206012,6766d89a50aad0e97c55125dbe61ed0fe01d063de1c83efb438010b2c9a31154,8236,941,7295,0.11425449247207382,0.9872476089266737,0.9014393420150788,0.42136855073002516,0.42103765608006016,0.793175635270544,1.65666925907135
3000,abrupt,collective,33,,0.0,1.12861949801445,0,0,0.18708489928394556,d33239c8552ffa46bda89c181acee8bd6dd0fc1a4304ce8ca8eedc651cea5248,4dbe781bb54b2f40c52377fd02aac8a8df900e4df2c386776ce64e6d59eedd20,8236,941,7295,0.11425449247207382,0.9893730074388948,0.9247429746401645,0.4118700240531937,0.41154008541068043,0.7895524790610371,
3000,abrupt,collective,33,0,0.05543577891106667,1.12861949801445,0,1,0.19601141195744276,80f0a07795543b10b9c36362851d2332311851df6d15ac0200200961abe9478e,6b39d764f0a9634189fc04c665ac67e3f9f8124b0390b5032a70994f34020181,8236,941,7295,0.11425449247207382,0.9872476089266737,0.9036326250856751,0.4126490957897132,0.4123212884309978,0.7901142747678487,1.5996636152267456
3000,abrupt,collective,33,5,0.055552865072588345,1.12861949801445,5,1,0.19606461096554995,8fc579063d7cf56c6c52ab08b968d43fec251e2e38debec6a5b7fc0452259c0a,d5d2494425fc597a21c1b7002af3f419990ae6e58f4a8bdc06a39f871da02d7d,8236,941,7295,0.11425449247207382,0.9872476089266737,0.9036326250856751,0.412635137156391,0.4123064359632301,0.7901140562553216,1.5996158123016357
3000,abrupt,collective,33,10,0.05572536362054947,1.12861949801445,10,1,0.19684899784624577,dc8dd43a8914553499a821643cdfcf73e271794712ab51a9a1a5db903ac94084,96a517e8ba3601ccb656f682378eaacb6d4b793efb1cd309a78c926b9788fc1d,8236,941,7295,0.11425449247207382,0.9872476089266737,0.9036326250856751,0.41260537506842393,0.4122766538152428,0.7901062626418602,1.6058835983276367
3000,abrupt,collective,33,20,0.056103465975087835,1.12861949801445,20,1,0.19790171924978495,f6d88c662b2c3770ca733a0b26497b1614bd2e12ce0810ce015ebc48c4c14479,162db8bc9fb8cab37703e35b038c940731e615e799cfe9a827ea520065492729,8236,941,7295,0.11425449247207382,0.9872476089266737,0.9034955448937628,0.412564518067198,0.412235748962573,0.7900954826905302,1.61687433719635
3000,abrupt,collective,33,30,0.05643222970809968,1.12861949801445,30,1,0.19561979500576854,47b46bd11f9d96b7c0022e07dac98055932a3740a4b43dce5b2067945e75422f,dc504caed1bb9e6ca9baf06ec775cab327e65f08e76a6565c08e2a3ca69ea2f9,8236,941,7295,0.11425449247207382,0.9872476089266737,0.9033584647018505,0.4126031897894059,0.4122744852483757,0.7901058984543152,1.629441499710083
3000,abrupt,collective,44,,0.0,1.1517643749713897,0,0,0.1891890149563551,615ffea883bc1fe1966ca4544fa7d997d1f225b61da8d210f2b69b6ee2bdd207,abe5405716179e5e6973462b281d558caf103e233944ecbcffe9191b91a5428d,8236,941,7295,0.11425449247207382,0.9914984059511158,0.9170664838930774,0.4271377447063244,0.42681201812729164,0.8050868259525872,
3000,abrupt,collective,44,0,0.04703486809936788,1.1517643749713897,0,1,0.19761702977120876,f17ef880ff6d714a8e9e23fe2ba1d66b137d3907c765c5e3300ee8f3bf93a618,d29f55a57b3c105a679464d758255e502c58693dfaee46a7082b799669ba30e6,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9040438656614119,0.422344728851372,0.4220201882496676,0.8024493069146832,1.619965672492981
3000,abrupt,collective,44,5,0.047050729908508455,1.1517643749713897,5,1,0.19590354012325406,2e8b907743df93d198ef713ecec5b40c58e5fec4f5e23f07fc61bf7c527027d9,469e2db94a81faf02f9bfeafa03780cc6c380fb484bdd2bb8dd8bfe5fd6af20d,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9040438656614119,0.42234603051202074,0.422021324347872,0.802445300851689,1.6195486783981323
3000,abrupt,collective,44,10,0.04721223912699122,1.1517643749713897,10,1,0.19575296342372894,59aa3a81d5a1e5ab0cd8bf97507f55a5379f38f3252922fe532debad40286ee0,9cb9b2f5f9180db563c97e7ac8b4477d2ceafabf3b6668a2516c100bc8849fb7,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9040438656614119,0.4223475462226259,0.4220233403513983,0.80244020222606,1.6260228157043457
3000,abrupt,collective,44,20,0.047621176276208196,1.1517643749713897,20,1,0.19594344403594732,c91818a466c35adc07adc29f980fcd2eff876d3c18c70e0a2730ea541417ca6d,806314cb84c9de823d0e910b56103cb67229cc0923fac55473510085b2252aa9,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9039067854694997,0.42230126136467305,0.42197663853184614,0.8024284753871133,1.635819911956787
3000,abrupt,collective,44,30,0.04792116842660532,1.1517643749713897,30,1,0.19530536187812686,461de856b339752fecf96b6ff97d980e3e8c394db5e1209d0991bda544d6cc00,f74b1462207d0bae8f0a24a3b9cb50ed3e4c44a11af002d34a690209b7be1c9c,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9040438656614119,0.42238275888766236,0.42205848274676855,0.8024454465267069,1.6470181941986084
3000,abrupt,collective,55,,0.0,1.1408777236938472,0,0,0.18808118905872107,9ec0ac00631598a447bd3789f15992c75847d17351789705c2941d7acb8cbce8,e6836bc426dd61b27cb4920b8dee8d0fc5e69adf6e6f2e8ebe498c6a94f7122d,8236,941,7295,0.11425449247207382,0.9936238044633369,0.9287183002056203,0.4204013580253128,0.4200728207611284,0.7940518705036494,
3000,abrupt,collective,55,0,0.059212545294105516,1.1408777236938472,0,1,0.19638745998963714,46f68ac997fce85bcf012c1cf0b31619e4f3e8cf0592c90b0cd8a4219d66fbc3,65f2225771ba441d3d6a0d0f986e456ec94ff16c62c8192553510954c08dabed,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9098012337217272,0.41825884903293875,0.41793042563245264,0.7942542859411226,1.6353164911270142
3000,abrupt,collective,55,5,0.05930472779529441,1.1408777236938472,5,1,0.19748490303754807,7f1f5542a336b3d93d203daf13fc91271943bed3aa0ac522251864ed27baa0ba,5489268f716b1a8f8a681db55182b3aa1e029ad7867ba84972f2bd2dabb8c20e,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9096641535298149,0.4182615779949173,0.4179334072734012,0.7942632449547279,1.6354774236679077
3000,abrupt,collective,55,10,0.05950492186069128,1.1408777236938472,10,1,0.19481796910986304,7c1bf2dee76d6fb53ace4de569786b92084b8b5694285563ba7ac9ad36d7aff1,8055a52f0ac73f7d355a14d3419a02665c8bdc165a198711dd39e42b3b5cc0d4,8236,941,7295,0.11425449247207382,0.9904357066950054,0.9095270733379027,0.4182388134584132,0.41791029655673395,0.794257199441482,1.6420443058013916
